missing_rate,mechanism,seed,impute_method,day_index,file_name,is_warmup,flow_group,count,sum_abs_error,sum_squared_error,sum_pct_error,count_pct,sum_smape
0.05,mcar_point,42,geo_func_hybrid,55,node_flow_chunk_055.parquet,False,all,201749.0,25254078.881462473,11563090627.821709,1533332.878151295,200772.0,1365879.4861102495
0.05,mcar_point,42,geo_func_hybrid,55,node_flow_chunk_055.parquet,False,low_flow,60600.0,4670512.3981837835,1606245233.3906295,569303.2002554451,59786.0,536187.0503659631
0.05,mcar_point,42,geo_func_hybrid,55,node_flow_chunk_055.parquet,False,mid_flow,80643.0,11116360.37778776,5054434809.261132,659999.3740904543,80507.0,549819.8474336826
0.05,mcar_point,42,geo_func_hybrid,55,node_flow_chunk_055.parquet,False,high_flow,60506.0,9467206.105490929,4902410585.169951,304030.303805396,60479.0,279872.58831060375
0.05,mcar_point,42,geo_func_hybrid,56,node_flow_chunk_056.parquet,False,all,201749.0,30006427.21995156,17771483668.846676,1987264.9433620381,200742.0,1569016.145148993
0.05,mcar_point,42,geo_func_hybrid,56,node_flow_chunk_056.parquet,False,low_flow,60631.0,5193818.0664700745,2220936859.5326004,738220.6852977521,59790.0,576635.6226867889
0.05,mcar_point,42,geo_func_hybrid,56,node_flow_chunk_056.parquet,False,mid_flow,80660.0,13130247.539507005,7380014633.305174,848678.55005404,80510.0,645520.2827614286
0.05,mcar_point,42,geo_func_hybrid,56,node_flow_chunk_056.parquet,False,high_flow,60458.0,11682361.613974478,8170532176.008899,400365.7080102454,60442.0,346860.23970077536
0.05,mcar_point,42,geo_func_hybrid,57,node_flow_chunk_057.parquet,False,all,201749.0,28815215.72730014,14381067978.8328,2302025.60809721,200591.0,1570954.9637638961
0.05,mcar_point,42,geo_func_hybrid,57,node_flow_chunk_057.parquet,False,low_flow,60303.0,5233415.9261104325,1841843505.6351383,749386.6823576625,59396.0,604265.103117769
